dialogue_id,utterance_id,model_prediction,model_outputs
3.0,1.0,2.0,"[0.056325126, 0.19900253, 0.32527602, 0.14589053, 0.03515226, 0.11044638, 0.1279071]"
3.0,2.0,4.0,"[0.19736098, 0.12606016, 0.054408293, 0.11004153, 0.27853274, 0.117231965, 0.11636437]"
3.0,3.0,5.0,"[0.1312988, 0.055479683, 0.07489818, 0.19472308, 0.16006632, 0.22813423, 0.15539967]"
3.0,4.0,0.0,"[0.34810048, 0.038076717, 0.043727133, 0.0626739, 0.30810377, 0.08846346, 0.110854596]"
3.0,5.0,1.0,"[0.04711146, 0.5616053, 0.09843878, 0.075192004, 0.029013168, 0.10619377, 0.08244561]"
3.0,6.0,4.0,"[0.23927476, 0.044042714, 0.032035127, 0.076427326, 0.38048023, 0.12181999, 0.10591978]"
4.0,0.0,1.0,"[0.050666768, 0.614757, 0.13366126, 0.05012547, 0.028746324, 0.058476415, 0.06356676]"
4.0,1.0,1.0,"[0.042433638, 0.6905884, 0.08815453, 0.04111376, 0.025010785, 0.05577896, 0.056919992]"
4.0,2.0,2.0,"[0.062427264, 0.30718073, 0.338002, 0.07379013, 0.036488153, 0.08444739, 0.09766438]"
4.0,3.0,1.0,"[0.043428276, 0.6298177, 0.13247064, 0.04501063, 0.025328033, 0.062327843, 0.061616894]"
4.0,4.0,1.0,"[0.05144011, 0.43511507, 0.25026986, 0.06402188, 0.028677296, 0.08151649, 0.08895936]"
4.0,5.0,1.0,"[0.05698013, 0.30330044, 0.2186219, 0.13255288, 0.036322337, 0.13263959, 0.1195827]"
4.0,6.0,5.0,"[0.057557438, 0.061961744, 0.14815505, 0.24245156, 0.06189513, 0.2465604, 0.18141869]"
4.0,7.0,3.0,"[0.056485236, 0.07195149, 0.1526731, 0.28733954, 0.054233562, 0.20149799, 0.1758191]"
4.0,8.0,2.0,"[0.11295186, 0.062795274, 0.30202502, 0.16276005, 0.067363665, 0.11233573, 0.1797683]"
5.0,1.0,4.0,"[0.25742385, 0.044985406, 0.019856341, 0.046807457, 0.4737376, 0.07467489, 0.08251438]"
5.0,2.0,4.0,"[0.25742385, 0.044985406, 0.019856341, 0.046807457, 0.4737376, 0.07467489, 0.08251438]"
5.0,3.0,0.0,"[0.37036747, 0.044501822, 0.03473085, 0.048065208, 0.3339039, 0.074477226, 0.09395348]"
5.0,4.0,5.0,"[0.0903787, 0.053982385, 0.12456927, 0.21435398, 0.09867947, 0.23181632, 0.1862198]"
5.0,5.0,0.0,"[0.3884957, 0.0629772, 0.07291903, 0.07195056, 0.23790418, 0.07099224, 0.094761066]"
5.0,6.0,5.0,"[0.1412138, 0.058571335, 0.06025072, 0.16262794, 0.17012249, 0.24660158, 0.16061217]"
5.0,7.0,5.0,"[0.103112176, 0.06742276, 0.05540468, 0.19826248, 0.15954508, 0.25778937, 0.15846331]"
5.0,8.0,0.0,"[0.39259073, 0.05307613, 0.07317564, 0.066269346, 0.22800067, 0.07318018, 0.11370728]"
6.0,0.0,1.0,"[0.1515128, 0.25990823, 0.14486699, 0.12031065, 0.10072693, 0.10269964, 0.11997471]"
6.0,1.0,2.0,"[0.079063535, 0.27450845, 0.32511762, 0.096575014, 0.03718631, 0.077388026, 0.11016112]"
6.0,2.0,1.0,"[0.08243916, 0.513183, 0.09511269, 0.083991915, 0.06216097, 0.079274334, 0.083837986]"
7.0,0.0,5.0,"[0.15289095, 0.08335658, 0.06398093, 0.1712912, 0.15747981, 0.22368582, 0.1473148]"
7.0,1.0,1.0,"[0.08243916, 0.513183, 0.09511269, 0.083991915, 0.06216097, 0.079274334, 0.083837986]"
7.0,2.0,5.0,"[0.07597857, 0.047508538, 0.07121379, 0.18355739, 0.103008434, 0.34357285, 0.1751604]"
7.0,3.0,0.0,"[0.21312273, 0.04606992, 0.056177184, 0.1097884, 0.20781834, 0.20909005, 0.15793326]"
7.0,4.0,0.0,"[0.27428117, 0.043872505, 0.0986256, 0.09931674, 0.17752194, 0.13962045, 0.16676153]"
7.0,5.0,4.0,"[0.3294492, 0.040005106, 0.03275173, 0.051969957, 0.3548117, 0.09236769, 0.09864456]"
7.0,6.0,1.0,"[0.06294594, 0.5767898, 0.11804235, 0.061976593, 0.03361773, 0.06970586, 0.0769218]"
7.0,7.0,5.0,"[0.123695694, 0.1379136, 0.05811115, 0.16570382, 0.16538866, 0.22120088, 0.12798609]"
7.0,8.0,4.0,"[0.17127578, 0.0763453, 0.034168094, 0.110566415, 0.29108325, 0.18761882, 0.12894231]"
8.0,0.0,5.0,"[0.06880899, 0.061661437, 0.06304439, 0.22150949, 0.1009331, 0.32336527, 0.16067731]"
8.0,1.0,4.0,"[0.22751266, 0.04376903, 0.022520239, 0.056177117, 0.47315657, 0.08854592, 0.08831843]"
8.0,2.0,5.0,"[0.087912425, 0.063337535, 0.07013366, 0.23264569, 0.12305332, 0.26442865, 0.15848874]"
8.0,3.0,4.0,"[0.2486818, 0.050413422, 0.033912968, 0.0770456, 0.33472112, 0.14046584, 0.114759184]"
8.0,4.0,0.0,"[0.2353673, 0.049990494, 0.11095477, 0.14174196, 0.15356806, 0.15987809, 0.14849927]"
8.0,5.0,0.0,"[0.2432664, 0.044559423, 0.12444738, 0.12497467, 0.15534358, 0.13869688, 0.16871154]"
8.0,6.0,5.0,"[0.098320134, 0.05297446, 0.08429586, 0.23280467, 0.104882404, 0.24533631, 0.18138617]"
9.0,0.0,0.0,"[0.29656026, 0.052980367, 0.13541967, 0.106573015, 0.16948074, 0.08985643, 0.14912945]"
9.0,1.0,4.0,"[0.17255114, 0.05488651, 0.03382464, 0.12047052, 0.28437793, 0.18911198, 0.14477725]"
9.0,2.0,5.0,"[0.17089212, 0.042650513, 0.07774819, 0.16538453, 0.16214363, 0.20439641, 0.1767846]"
9.0,3.0,1.0,"[0.08243916, 0.513183, 0.09511269, 0.083991915, 0.06216097, 0.079274334, 0.083837986]"
9.0,4.0,1.0,"[0.04261809, 0.65027845, 0.116562575, 0.044451073, 0.024959303, 0.061271135, 0.059859343]"
9.0,5.0,4.0,"[0.29699925, 0.04003271, 0.025017176, 0.048149608, 0.43189114, 0.07643866, 0.0814714]"
9.0,6.0,1.0,"[0.04939219, 0.5623386, 0.16594315, 0.054649483, 0.026445027, 0.06734376, 0.07388785]"
9.0,7.0,4.0,"[0.2800366, 0.049254637, 0.028652132, 0.059099182, 0.4187202, 0.08132773, 0.08290953]"
9.0,8.0,1.0,"[0.047851656, 0.5447575, 0.122527614, 0.074235514, 0.02892395, 0.09615876, 0.08554494]"
9.0,9.0,5.0,"[0.053548045, 0.067688026, 0.08234745, 0.23526146, 0.06921053, 0.33639604, 0.15554844]"
9.0,10.0,1.0,"[0.062516235, 0.5177824, 0.11920647, 0.079901084, 0.033218194, 0.09482929, 0.0925463]"
9.0,11.0,5.0,"[0.061703667, 0.06263067, 0.072457984, 0.23246853, 0.07898635, 0.33067, 0.16108282]"
9.0,12.0,4.0,"[0.2767604, 0.05609267, 0.035510205, 0.07355836, 0.36398512, 0.0921525, 0.10194077]"
9.0,13.0,3.0,"[0.13296685, 0.04216182, 0.09636088, 0.23190269, 0.13966891, 0.16960526, 0.18733364]"
9.0,14.0,3.0,"[0.09118776, 0.07664915, 0.16498545, 0.2464336, 0.0678281, 0.17614624, 0.17676967]"
9.0,15.0,1.0,"[0.08645289, 0.39641905, 0.1930255, 0.08981167, 0.055440526, 0.08030342, 0.09854694]"
9.0,16.0,0.0,"[0.31189153, 0.046355583, 0.09719193, 0.10908829, 0.21975696, 0.08494003, 0.13077566]"
9.0,17.0,4.0,"[0.32351407, 0.044229515, 0.042887446, 0.06976227, 0.33189413, 0.08708275, 0.10062992]"
10.0,0.0,3.0,"[0.07422721, 0.078654684, 0.10884233, 0.28501895, 0.07918901, 0.2078982, 0.16616964]"
10.0,1.0,5.0,"[0.11554934, 0.047257986, 0.1096144, 0.19130698, 0.1088196, 0.2309978, 0.19645382]"
10.0,2.0,2.0,"[0.07798003, 0.15667655, 0.41523227, 0.10998518, 0.03875424, 0.0749574, 0.12641431]"
10.0,3.0,4.0,"[0.2199848, 0.039350364, 0.065447845, 0.121379994, 0.22229762, 0.17572238, 0.15581697]"
11.0,0.0,0.0,"[0.2517726, 0.04430876, 0.15710264, 0.13213016, 0.14550455, 0.10937597, 0.15980524]"
11.0,1.0,2.0,"[0.088526875, 0.054811623, 0.2386587, 0.20512636, 0.06778842, 0.16338445, 0.18170361]"
11.0,2.0,0.0,"[0.35465342, 0.045644373, 0.07530403, 0.086566366, 0.22934453, 0.08421593, 0.124271296]"
11.0,3.0,5.0,"[0.08827945, 0.052271366, 0.18951076, 0.19003908, 0.06946011, 0.2163341, 0.19410506]"
11.0,4.0,0.0,"[0.40098375, 0.05601546, 0.07166491, 0.056593128, 0.23082104, 0.07500828, 0.108913444]"
12.0,0.0,1.0,"[0.050810806, 0.4264075, 0.11820746, 0.11199591, 0.035308167, 0.1480068, 0.10926324]"
12.0,1.0,0.0,"[0.37714332, 0.048037317, 0.089669466, 0.07641255, 0.21346965, 0.07459191, 0.12067575]"
12.0,2.0,5.0,"[0.071366385, 0.047800004, 0.09612885, 0.22415033, 0.08784672, 0.27936584, 0.19334173]"
12.0,3.0,5.0,"[0.12889566, 0.04231725, 0.059554596, 0.16404822, 0.16027083, 0.2555777, 0.18933584]"
12.0,4.0,5.0,"[0.10301425, 0.04420084, 0.08027411, 0.18778205, 0.116934195, 0.2651697, 0.2026248]"
12.0,5.0,4.0,"[0.33047938, 0.040849578, 0.030046985, 0.049308546, 0.38574705, 0.07618487, 0.08738365]"
12.0,7.0,1.0,"[0.052647494, 0.26570174, 0.13959122, 0.1486611, 0.044057734, 0.20062305, 0.14871773]"
12.0,8.0,5.0,"[0.06356318, 0.07645376, 0.057327416, 0.2223922, 0.092525326, 0.32801348, 0.15972456]"
12.0,9.0,5.0,"[0.14488716, 0.040963214, 0.08391075, 0.16281918, 0.14481436, 0.2173581, 0.2052474]"
12.0,10.0,4.0,"[0.19273825, 0.040665723, 0.03727329, 0.103182994, 0.3096529, 0.17003718, 0.14644973]"
12.0,11.0,4.0,"[0.24066325, 0.04268297, 0.024061188, 0.056129724, 0.4572022, 0.088959016, 0.0903017]"
12.0,12.0,4.0,"[0.15748438, 0.097033076, 0.044795763, 0.13591403, 0.21673958, 0.20703854, 0.14099467]"
12.0,13.0,1.0,"[0.046372738, 0.5778012, 0.1540648, 0.052624516, 0.026324412, 0.068628505, 0.07418379]"
12.0,14.0,2.0,"[0.08031655, 0.095062785, 0.3940012, 0.14969358, 0.04025632, 0.09228465, 0.14838487]"
12.0,15.0,0.0,"[0.31440023, 0.05268475, 0.14124821, 0.09802303, 0.16969454, 0.08531387, 0.13863555]"
12.0,16.0,0.0,"[0.29477933, 0.0462947, 0.061928667, 0.09326866, 0.2870285, 0.10416319, 0.11253688]"
12.0,17.0,2.0,"[0.09176559, 0.07044728, 0.29669106, 0.16401568, 0.057115868, 0.1592093, 0.16075529]"
12.0,18.0,0.0,"[0.35277787, 0.04847756, 0.052712683, 0.060730133, 0.30044845, 0.07344408, 0.111409314]"
12.0,19.0,0.0,"[0.31689733, 0.045017168, 0.04915844, 0.070837535, 0.30711585, 0.09034656, 0.12062715]"
13.0,0.0,1.0,"[0.08243916, 0.513183, 0.09511269, 0.083991915, 0.06216097, 0.079274334, 0.083837986]"
13.0,1.0,3.0,"[0.085459925, 0.063834466, 0.18389714, 0.25378755, 0.07017867, 0.1470278, 0.19581443]"
13.0,2.0,5.0,"[0.11355424, 0.0497629, 0.09606852, 0.20744206, 0.109969854, 0.24048074, 0.18272175]"
13.0,3.0,3.0,"[0.06585817, 0.120658964, 0.100059934, 0.27031025, 0.07483166, 0.20960419, 0.1586768]"
13.0,4.0,5.0,"[0.109257, 0.04593825, 0.16261092, 0.20093867, 0.08268021, 0.20378287, 0.19479209]"
13.0,6.0,3.0,"[0.07278128, 0.112932175, 0.16956073, 0.2113779, 0.058904763, 0.20025544, 0.1741877]"
13.0,7.0,4.0,"[0.23979853, 0.049114425, 0.055019096, 0.09891827, 0.34196478, 0.09942203, 0.11576293]"
14.0,0.0,1.0,"[0.044657566, 0.5920281, 0.1539882, 0.047965255, 0.025297344, 0.06544797, 0.07061562]"
14.0,1.0,4.0,"[0.31884357, 0.041625787, 0.027642248, 0.048103012, 0.39888746, 0.08054625, 0.08435155]"
14.0,2.0,4.0,"[0.31884357, 0.041625787, 0.027642248, 0.048103012, 0.39888746, 0.08054625, 0.08435155]"
14.0,3.0,4.0,"[0.31884357, 0.041625787, 0.027642248, 0.048103012, 0.39888746, 0.08054625, 0.08435155]"
14.0,4.0,4.0,"[0.21306443, 0.046818748, 0.042974286, 0.09586116, 0.27113038, 0.17384206, 0.15630889]"
14.0,5.0,2.0,"[0.095035374, 0.06566838, 0.37015286, 0.13617922, 0.055376828, 0.11642984, 0.16115753]"
14.0,6.0,4.0,"[0.24961507, 0.046312325, 0.019830674, 0.047501575, 0.4774399, 0.07600231, 0.0832981]"
14.0,7.0,4.0,"[0.25196925, 0.04908921, 0.024415111, 0.05292666, 0.45705995, 0.0790471, 0.08549267]"
14.0,8.0,1.0,"[0.0534399, 0.5746186, 0.09487384, 0.07304989, 0.030360816, 0.0916444, 0.08201254]"
14.0,9.0,4.0,"[0.23651354, 0.046179894, 0.02620339, 0.067070715, 0.41759166, 0.10637922, 0.100061625]"
14.0,10.0,0.0,"[0.385428, 0.044855442, 0.06578083, 0.067265704, 0.24723713, 0.077637434, 0.1117954]"
15.0,0.0,2.0,"[0.10850229, 0.06246112, 0.34961966, 0.13367069, 0.060549438, 0.13456516, 0.15063168]"
15.0,1.0,4.0,"[0.28336108, 0.036962636, 0.055685587, 0.087438546, 0.28516597, 0.11970981, 0.1316764]"
15.0,2.0,0.0,"[0.40098375, 0.05601546, 0.07166491, 0.056593128, 0.23082104, 0.07500828, 0.108913444]"
15.0,3.0,4.0,"[0.28102392, 0.039773494, 0.026970774, 0.05359477, 0.42352337, 0.083890066, 0.09122353]"
15.0,4.0,4.0,"[0.28102392, 0.039773494, 0.026970774, 0.05359477, 0.42352337, 0.083890066, 0.09122353]"
15.0,5.0,5.0,"[0.07792508, 0.049421344, 0.06320625, 0.18668368, 0.10871289, 0.3249634, 0.1890873]"
16.0,0.0,4.0,"[0.2832747, 0.042758036, 0.023792015, 0.049246076, 0.43276933, 0.0824862, 0.085673586]"
16.0,1.0,0.0,"[0.21684586, 0.04234568, 0.15507431, 0.14769605, 0.119150594, 0.1304802, 0.18840727]"
16.0,2.0,0.0,"[0.32699388, 0.045252573, 0.06202307, 0.08958733, 0.27393165, 0.0864272, 0.11578435]"
16.0,3.0,4.0,"[0.29270697, 0.041632637, 0.024254221, 0.048424352, 0.43870142, 0.074940495, 0.07933982]"
16.0,4.0,4.0,"[0.21319893, 0.07233332, 0.054617334, 0.12047816, 0.2465387, 0.16578254, 0.12705095]"
16.0,5.0,4.0,"[0.2912615, 0.039089203, 0.03963973, 0.0692751, 0.34988427, 0.10262298, 0.10822719]"
16.0,6.0,4.0,"[0.27387917, 0.051538482, 0.035396084, 0.07270192, 0.36710614, 0.10240863, 0.09696957]"
16.0,7.0,4.0,"[0.2827161, 0.041751392, 0.04375259, 0.082266144, 0.32110646, 0.10998516, 0.11842211]"
16.0,8.0,0.0,"[0.28655216, 0.05283843, 0.0854506, 0.112387784, 0.23154096, 0.09602288, 0.13520718]"
16.0,9.0,5.0,"[0.078981295, 0.06228839, 0.13336174, 0.18011612, 0.0748488, 0.2819807, 0.18842298]"
17.0,0.0,4.0,"[0.2782905, 0.0491624, 0.03550364, 0.06851771, 0.37088394, 0.099185795, 0.098456025]"
17.0,1.0,4.0,"[0.26202905, 0.046069548, 0.031237671, 0.06911808, 0.38969406, 0.09679564, 0.1050559]"
17.0,2.0,4.0,"[0.1666781, 0.049118113, 0.062457096, 0.13742003, 0.22055036, 0.18915372, 0.1746226]"
17.0,3.0,5.0,"[0.11049569, 0.16615203, 0.05764267, 0.16309556, 0.14286381, 0.22890003, 0.13085017]"
17.0,4.0,2.0,"[0.093083076, 0.05891108, 0.35722163, 0.13884962, 0.061345205, 0.12517577, 0.16541362]"
17.0,5.0,2.0,"[0.07286757, 0.23033373, 0.2462975, 0.13351986, 0.04277383, 0.14146015, 0.13274722]"
17.0,6.0,5.0,"[0.054755032, 0.17140982, 0.0748538, 0.21035644, 0.068065494, 0.28011554, 0.14044394]"
17.0,7.0,5.0,"[0.052236967, 0.22998327, 0.08787085, 0.18991874, 0.056016326, 0.2479945, 0.13597931]"
17.0,8.0,0.0,"[0.2807421, 0.058046777, 0.08367657, 0.11614294, 0.25308302, 0.08494963, 0.123359]"
17.0,9.0,5.0,"[0.13616192, 0.05030318, 0.040748775, 0.12744626, 0.2047123, 0.2737614, 0.16686615]"
17.0,10.0,5.0,"[0.05826132, 0.084771544, 0.06978078, 0.2199742, 0.07630079, 0.33967012, 0.1512412]"
17.0,11.0,3.0,"[0.07562637, 0.058978777, 0.20895469, 0.2386426, 0.06416666, 0.15965708, 0.19397373]"
17.0,12.0,4.0,"[0.2870198, 0.04022433, 0.03568837, 0.06438236, 0.3367745, 0.12306837, 0.112842314]"
17.0,13.0,4.0,"[0.25149608, 0.06190628, 0.05317599, 0.10901298, 0.28864318, 0.10797719, 0.1277882]"
17.0,14.0,0.0,"[0.29682004, 0.048820153, 0.09613283, 0.1168083, 0.20410469, 0.103835076, 0.133479]"
17.0,15.0,4.0,"[0.21429616, 0.081668265, 0.035332933, 0.08533511, 0.35848328, 0.12205403, 0.10283028]"
17.0,16.0,3.0,"[0.07332567, 0.09871867, 0.16617736, 0.2515182, 0.06254946, 0.17508514, 0.1726256]"
17.0,17.0,2.0,"[0.059352435, 0.17556857, 0.25912684, 0.16944966, 0.037173554, 0.1501636, 0.14916542]"
17.0,18.0,2.0,"[0.10087263, 0.12814595, 0.37318546, 0.115845256, 0.05578295, 0.08684381, 0.13932392]"
17.0,19.0,0.0,"[0.23121916, 0.08230158, 0.08193996, 0.12583485, 0.17377456, 0.15743066, 0.1474992]"
17.0,20.0,0.0,"[0.37873563, 0.049474515, 0.06602844, 0.07121511, 0.25429845, 0.079597324, 0.10065051]"
17.0,21.0,4.0,"[0.26335853, 0.062305193, 0.05202205, 0.094790705, 0.31208363, 0.09343399, 0.12200602]"
17.0,22.0,0.0,"[0.22208275, 0.051721957, 0.20817511, 0.11436881, 0.119400054, 0.1054427, 0.1788087]"
17.0,23.0,4.0,"[0.30515128, 0.03863102, 0.030421505, 0.05574683, 0.38924405, 0.08191331, 0.09889193]"
17.0,24.0,3.0,"[0.068996474, 0.060315475, 0.17975582, 0.26536658, 0.05944008, 0.18167984, 0.1844456]"
17.0,25.0,3.0,"[0.11694493, 0.04761308, 0.1567146, 0.22765921, 0.09466514, 0.15792799, 0.19847496]"
17.0,27.0,5.0,"[0.13531838, 0.07144163, 0.045235395, 0.14967263, 0.19908035, 0.25683895, 0.14241277]"
17.0,28.0,0.0,"[0.28730723, 0.045239605, 0.120541774, 0.11841338, 0.17404388, 0.10003393, 0.15442014]"
17.0,29.0,5.0,"[0.11548093, 0.050007056, 0.069773845, 0.19046116, 0.13652061, 0.25728294, 0.18047342]"
17.0,30.0,4.0,"[0.23563713, 0.04082357, 0.05307995, 0.10617114, 0.29927734, 0.1313578, 0.13365306]"
17.0,31.0,2.0,"[0.07703913, 0.06540727, 0.31445497, 0.17792493, 0.045489773, 0.13923831, 0.18044563]"
17.0,32.0,0.0,"[0.34341085, 0.051560093, 0.12238969, 0.08331164, 0.17531471, 0.09085288, 0.13316013]"
18.0,0.0,0.0,"[0.22098577, 0.04194491, 0.11901239, 0.13786967, 0.14941461, 0.1479, 0.18287262]"
18.0,1.0,0.0,"[0.3333932, 0.04088059, 0.05600925, 0.069814146, 0.27410516, 0.095691316, 0.13010639]"
18.0,2.0,2.0,"[0.1587421, 0.057147413, 0.2769103, 0.14930308, 0.08122336, 0.10803474, 0.16863902]"
19.0,0.0,1.0,"[0.05035528, 0.62891936, 0.13348277, 0.043173924, 0.02592529, 0.054781, 0.06336235]"
20.0,0.0,2.0,"[0.07863366, 0.11322113, 0.36261117, 0.12612152, 0.041884355, 0.12154357, 0.15598452]"
20.0,1.0,1.0,"[0.07807007, 0.43172893, 0.18574056, 0.07997112, 0.036845405, 0.08441255, 0.10323138]"
20.0,2.0,1.0,"[0.062483814, 0.42769372, 0.23754176, 0.0684828, 0.03271372, 0.08023561, 0.09084858]"
20.0,3.0,1.0,"[0.13318369, 0.31721336, 0.15958568, 0.102881655, 0.09637554, 0.08432105, 0.10643909]"
20.0,4.0,0.0,"[0.28586563, 0.068455465, 0.10171484, 0.11369796, 0.20362817, 0.10334381, 0.12329409]"
20.0,5.0,0.0,"[0.24322037, 0.052417245, 0.07845292, 0.114108674, 0.18352994, 0.16945426, 0.15881655]"
20.0,6.0,2.0,"[0.13262306, 0.048965104, 0.21673127, 0.1537381, 0.090794705, 0.175542, 0.18160574]"
20.0,7.0,4.0,"[0.18019687, 0.039069112, 0.06949092, 0.13066457, 0.19693547, 0.19662009, 0.18702295]"
21.0,0.0,0.0,"[0.36803448, 0.06123431, 0.073945455, 0.08563807, 0.23830229, 0.072532386, 0.10031303]"
21.0,1.0,4.0,"[0.31517118, 0.040394288, 0.03981783, 0.06632406, 0.35236046, 0.08625218, 0.09968002]"
21.0,2.0,4.0,"[0.28774488, 0.042231802, 0.032107048, 0.056345675, 0.39410362, 0.08901812, 0.09844884]"
21.0,4.0,2.0,"[0.0749976, 0.07464424, 0.2772352, 0.22931787, 0.051193096, 0.116708584, 0.17590353]"
21.0,5.0,4.0,"[0.23671716, 0.04382127, 0.02204968, 0.052892834, 0.48120862, 0.079078674, 0.084231734]"
21.0,6.0,1.0,"[0.053769827, 0.57949716, 0.16825709, 0.046111427, 0.027501402, 0.057686385, 0.06717675]"
22.0,0.0,4.0,"[0.24961507, 0.046312325, 0.019830674, 0.047501575, 0.4774399, 0.07600231, 0.0832981]"
22.0,1.0,4.0,"[0.25742385, 0.044985406, 0.019856341, 0.046807457, 0.4737376, 0.07467489, 0.08251438]"
22.0,3.0,4.0,"[0.26888296, 0.046957616, 0.042044412, 0.07714335, 0.35525864, 0.11088248, 0.09883039]"
22.0,4.0,0.0,"[0.29969704, 0.040869225, 0.092372276, 0.10151748, 0.20657684, 0.11365758, 0.14530955]"
22.0,5.0,1.0,"[0.042433638, 0.6905884, 0.08815453, 0.04111376, 0.025010785, 0.05577896, 0.056919992]"
22.0,6.0,6.0,"[0.16452536, 0.039078876, 0.15007009, 0.17804328, 0.1343197, 0.14306316, 0.19089958]"
22.0,7.0,1.0,"[0.051300105, 0.61117226, 0.13821971, 0.047400508, 0.026645146, 0.059026074, 0.066236205]"
22.0,8.0,3.0,"[0.07235729, 0.15710762, 0.123620994, 0.21586466, 0.06647396, 0.20693305, 0.15764242]"
22.0,9.0,1.0,"[0.05353322, 0.40434396, 0.14750518, 0.11038376, 0.036094338, 0.13715436, 0.11098518]"
22.0,10.0,5.0,"[0.07198891, 0.05322071, 0.1408685, 0.20782046, 0.07203537, 0.24316727, 0.21089879]"
22.0,11.0,3.0,"[0.12265499, 0.058281645, 0.15930066, 0.20627964, 0.09349553, 0.17213683, 0.18785073]"
22.0,12.0,4.0,"[0.22364861, 0.045011383, 0.02148452, 0.0545767, 0.4826803, 0.084485635, 0.088112906]"
22.0,13.0,5.0,"[0.10018222, 0.056340545, 0.08799509, 0.17906912, 0.11624169, 0.2651951, 0.19497621]"
22.0,14.0,2.0,"[0.07286818, 0.08378752, 0.32174918, 0.15945053, 0.044512432, 0.15222505, 0.16540708]"
22.0,15.0,6.0,"[0.17751439, 0.043850657, 0.07214523, 0.12047287, 0.1824323, 0.19969366, 0.20389085]"
22.0,16.0,6.0,"[0.13120665, 0.048051342, 0.1425915, 0.18676682, 0.09379084, 0.19795151, 0.19964132]"
22.0,17.0,4.0,"[0.30716562, 0.04819418, 0.036340285, 0.06262067, 0.3844439, 0.07680721, 0.084428124]"
22.0,18.0,4.0,"[0.2224946, 0.05691137, 0.026603503, 0.06935096, 0.4129431, 0.11288599, 0.09881053]"
22.0,19.0,6.0,"[0.16623579, 0.10444006, 0.09692684, 0.14865911, 0.14563172, 0.16629253, 0.17181394]"
22.0,20.0,2.0,"[0.07068112, 0.100752346, 0.28322205, 0.21304703, 0.042510312, 0.13226824, 0.15751895]"
22.0,21.0,0.0,"[0.40098375, 0.05601546, 0.07166491, 0.056593128, 0.23082104, 0.07500828, 0.108913444]"
23.0,0.0,4.0,"[0.25742385, 0.044985406, 0.019856341, 0.046807457, 0.4737376, 0.07467489, 0.08251438]"
23.0,1.0,4.0,"[0.28793862, 0.048125185, 0.027502064, 0.056396235, 0.39418697, 0.09352362, 0.09232726]"
